iter	Passed	Remaining
496	3002	3039
497	3026	3051
498	3032	3044
499	3039	3039
500	3055	3042
501	3066	3041
502	3076	3039
503	3084	3035
504	3085	3024
505	3086	3013
506	3087	3002
507	3088	2991
508	3089	2980
509	3090	2969
510	3097	2963
511	3103	2957
512	3104	2947
513	3106	2936
514	3107	2926
515	3108	2915
516	3109	2904
517	3110	2894
518	3111	2883
519	3112	2873
520	3113	2862
521	3115	2852
522	3116	2842
523	3117	2831
524	3118	2821
525	3119	2811
526	3122	2802
527	3126	2795
528	3149	2804
529	3155	2798
530	3173	2803
531	3187	2804
532	3193	2798
533	3202	2794
534	3203	2784
535	3206	2776
536	3210	2767
537	3219	2764
538	3226	2759
539	3234	2755
540	3240	2749
541	3249	2745
542	3250	2735
543	3251	2725
544	3253	2715
545	3254	2705
546	3255	2695
547	3256	2686
548	3257	2676
549	3258	2666
550	3260	2656
551	3260	2646
552	3262	2637
553	3263	2627
554	3265	2617
555	3266	2608
556	3267	2598
557	3268	2588
558	3269	2579
559	3292	2587
560	3303	2584
561	3336	2600
562	3364	2611
563	3384	2616
564	3396	2615
565	3399	2607
566	3414	2607
567	3423	2603
568	3429	2597
569	3438	2594
570	3443	2587
571	3452	2583
572	3470	2586
573	3474	2578
574	3477	2570
575	3482	2563
576	3486	2556
577	3492	2549
578	3495	2541
579	3498	2533
580	3501	2525
581	3502	2515
582	3503	2506
583	3504	2496
584	3506	2487
585	3506	2477
586	3507	2468
587	3509	2458
588	3510	2449
589	3514	2442
590	3550	2456
591	3580	2467
592	3662	2513
593	3664	2504
594	3665	2495
595	3666	2485
596	3668	2476
597	3669	2466
598	3671	2457
599	3672	2448
600	3681	2443
601	3682	2434
602	3683	2425
603	3684	2415
604	3685	2406
605	3686	2397
606	3688	2387
607	3689	2378
608	3697	2373
609	3698	2364
610	3700	2355
611	3702	2347
612	3704	2338
613	3705	2329
614	3706	2320
615	3708	2311
616	3709	2302
617	3711	2294
618	3712	2285
619	3713	2276
620	3714	2267
621	3716	2258
622	3717	2249
623	3719	2241
624	3720	2232
625	3722	2224
626	3724	2215
627	3725	2206
628	3727	2198
629	3729	2190
630	3730	2181
631	3731	2172
632	3733	2164
633	3734	2155
634	3736	2147
635	3738	2139
636	3739	2131
637	3741	2122
638	3742	2114
639	3744	2106
640	3745	2097
641	3746	2089
642	3747	2080
643	3749	2072
644	3750	2064
645	3752	2056
646	3753	2048
647	3755	2039
648	3756	2031
649	3757	2023
650	3758	2014
651	3760	2006
652	3761	1998
653	3762	1990
654	3764	1982
655	3765	1974
656	3767	1966
657	3768	1958
658	3769	1950
659	3771	1942
660	3772	1934
661	3774	1926
662	3775	1919
663	3776	1911
664	3778	1903
665	3779	1895
666	3781	1887
667	3782	1879
668	3783	1872
669	3785	1864
670	3787	1856
671	3788	1849
672	3797	1845
673	3798	1837
674	3799	1829
675	3801	1821
676	3802	1814
677	3803	1806
678	3805	1798
679	3806	1791
680	3807	1783
681	3809	1776
682	3810	1768
683	3811	1760
684	3812	1753
685	3813	1745
686	3815	1738
687	3816	1730
688	3856	1740
689	3886	1746
690	3888	1738
691	3889	1731
692	3897	1726
693	3905	1721
694	3906	1714
695	3908	1707
696	3909	1699
697	3911	1692
698	3913	1685
699	3914	1677
700	3916	1670
701	3917	1662
702	3918	1655
703	3919	1648
704	3921	1640
705	3922	1633
706	3924	1626
707	3925	1618
708	3926	1611
709	3928	1604
710	3929	1597
711	3930	1589
712	3932	1582
713	3933	1575
714	3934	1568
715	3936	1561
716	3937	1554
717	3938	1547
718	3940	1540
719	3941	1532
720	3943	1525
721	3944	1518
722	3945	1511
723	3946	1504
724	3948	1497
725	3949	1490
726	3950	1483
727	3951	1476
728	3953	1469
729	3954	1462
730	3955	1455
731	3957	1448
732	3958	1441
733	3960	1435
734	3962	1428
735	3964	1421
736	3965	1415
737	3967	1408
738	3968	1401
739	3970	1394
740	3971	1388
741	3972	1381
742	3973	1374
743	3975	1367
744	3976	1360
745	3977	1354
746	3978	1347
747	3979	1340
748	3981	1334
749	3982	1327
750	3983	1320
751	3984	1314
752	3986	1307
753	3987	1300
754	3988	1294
755	3989	1287
756	3991	1281
757	3992	1274
758	3998	1269
759	4000	1263
760	4001	1256
761	4002	1250
762	4004	1243
763	4006	1237
764	4007	1231
765	4008	1224
766	4010	1218
767	4011	1211
768	4012	1205
769	4013	1198
770	4015	1192
771	4016	1186
772	4017	1179
773	4019	1173
774	4020	1167
775	4021	1160
776	4023	1154
777	4024	1148
778	4025	1142
779	4027	1135
780	4028	1129
781	4029	1123
782	4031	1117
783	4032	1111
784	4033	1104
785	4035	1098
786	4036	1092
787	4037	1086
788	4038	1080
789	4040	1073
790	4040	1067
791	4042	1061
792	4043	1055
793	4044	1049
794	4046	1043
795	4047	1037
796	4048	1031
797	4049	1025
798	4051	1019
799	4052	1013
800	4053	1007
801	4054	1001
802	4056	995
803	4057	989
804	4059	983
805	4060	977
806	4061	971
807	4062	965
808	4064	959
809	4065	953
810	4066	947
811	4068	941
812	4069	936
813	4070	930
814	4072	924
815	4076	919
816	4077	913
817	4078	907
818	4079	901
819	4081	895
820	4082	890
821	4083	884
822	4085	878
823	4087	873
824	4089	867
825	4090	861
826	4091	855
827	4093	850
828	4094	844
829	4096	838
830	4097	833
831	4098	827
832	4101	822
833	4102	816
834	4104	811
835	4105	805
836	4107	799
837	4108	794
838	4109	788
839	4112	783
840	4113	777
841	4114	772
842	4115	766
843	4116	760
844	4118	755
845	4119	749
846	4120	744
847	4122	738
848	4123	733
849	4125	728
850	4126	722
851	4128	717
852	4129	711
853	4130	706
854	4132	700
855	4133	695
856	4134	689
857	4136	684
858	4137	679
859	4138	673
860	4141	668
861	4142	663
862	4144	657
863	4145	652
864	4147	647
865	4148	641
866	4150	636
867	4151	631
868	4152	626
869	4154	620
870	4155	615
871	4156	610
872	4157	604
873	4159	599
874	4160	594
875	4161	589
876	4162	583
877	4163	578
878	4164	573
879	4165	568
880	4166	562
881	4167	557
882	4168	552
883	4169	547
884	4170	541
885	4172	536
886	4173	531
887	4174	526
888	4176	521
889	4177	516
890	4178	511
891	4180	506
892	4181	501
893	4182	495
894	4183	490
895	4184	485
896	4186	480
897	4190	475
898	4191	470
899	4192	465
900	4194	460
901	4195	455
902	4196	450
903	4197	445
904	4198	440
905	4200	435
906	4201	430
907	4203	425
908	4205	421
909	4207	416
910	4208	411
911	4209	406
912	4211	401
913	4212	396
914	4214	391
915	4215	386
916	4216	381
917	4217	376
918	4219	371
919	4220	366
920	4221	362
921	4222	357
922	4223	352
923	4224	347
924	4225	342
925	4227	337
926	4228	332
927	4229	328
928	4231	323
929	4232	318
930	4233	313
931	4235	309
932	4237	304
933	4238	299
934	4239	294
935	4241	290
936	4243	285
937	4244	280
938	4245	275
939	4247	271
940	4248	266
941	4249	261
942	4250	256
943	4251	252
944	4252	247
945	4253	242
946	4255	238
947	4256	233
948	4257	228
949	4258	224
950	4259	219
951	4260	214
952	4262	210
953	4263	205
954	4264	200
955	4265	196
956	4266	191
957	4268	187
958	4269	182
959	4270	177
960	4271	173
961	4272	168
962	4274	164
963	4275	159
964	4276	155
965	4277	150
966	4278	146
967	4279	141
968	4281	136
969	4282	132
970	4283	127
971	4284	123
972	4285	118
973	4286	114
974	4288	109
975	4289	105
976	4290	100
977	4290	96
978	4291	92
979	4293	87
980	4294	83
981	4295	78
982	4296	74
983	4298	69
984	4299	65
985	4300	61
986	4301	56
987	4302	52
988	4303	47
989	4304	43
990	4306	39
991	4307	34
992	4308	30
993	4309	26
994	4310	21
995	4312	17
996	4313	12
997	4314	8
998	4315	4
999	4317	0
